Description,Amount,Category
Uber ride to work,10,Travel
Groceries at Whole Foods,60,Food
Spotify Premium Subscription,10,Entertainment
Flight to Los Angeles,300,Travel
Monthly Rent,1200,Rent
Amazon Prime Video Subscription,15,Entertainment
Coffee at Dunkin' Donuts,5,Food
Movie tickets (2),20,Entertainment
Clothing purchase (online),75,Shopping
Dinner at Italian restaurant,45,Food
Taxi to train station,15,Travel
Hotel stay (business trip),180,Travel
Concert tickets (2),80,Entertainment
New laptop purchase,1000,Shopping
Gas for car (full tank),50,Travel
Uber Eats order,25,Food
Groceries at local market,40,Food
Lunch at fast food restaurant,8,Food
Netflix subscription,15,Entertainment
Flight to London,800,Travel
Coffee at local cafe,4,Food
Movie tickets (cinema),12,Entertainment
Amazon order (books),30,Shopping
Monthly phone bill,70,Bills
Internet bill,55,Bills
Train ticket (commuter),20,Travel
Lunch at deli,10,Food
Subscription to gym,40,Health
Hotel stay (vacation),250,Travel
Shoes purchase (department store),120,Shopping
Gas station fill-up,35,Travel
Online course (photography),150,Education
Dinner at home (ingredients),50,Food
iTunes music purchase,10,Entertainment
Subscription to streaming service,20,Entertainment
Groceries at farmers market,30,Food
Spotify Premium Subscription,10,Entertainment
Flight to Paris,600,Travel
Monthly rent,1500,Rent
Amazon Prime Video Subscription,15,Entertainment
Coffee at local coffee shop,3,Food
Movie tickets (3D),18,Entertainment
Clothing purchase (sale),40,Shopping
Dinner at Indian restaurant,35,Food
Taxi to airport,40,Travel
Hotel stay (business trip),220,Travel
Concert tickets (festival),120,Entertainment
New phone purchase,800,Shopping
Gas for car (top-up),20,Travel
Uber Eats order,30,Food
Groceries at supermarket,70,Food
Lunch at sandwich shop,8,Food
Netflix subscription,15,Entertainment
Flight to Rome,750,Travel
Coffee at cafe,6,Food
Movie tickets (independent film),10,Entertainment
Amazon order (electronics),80,Shopping
Monthly phone bill,85,Bills
Internet bill,60,Bills
Train ticket (long distance),50,Travel
Lunch at restaurant,15,Food
Subscription to online magazine,10,Entertainment
Hotel stay (vacation),300,Travel
Shoes purchase (online),90,Shopping
Gas station fill-up,45,Travel
Online course (cooking),80,Education
Dinner at home (takeout),25,Food
iTunes music purchase,8,Entertainment
Subscription to streaming service,18,Entertainment
Groceries at local store,25,Food
Spotify Premium Subscription,10,Entertainment
Flight to Tokyo,1200,Travel
Monthly rent,1800,Rent
Amazon Prime Video Subscription,15,Entertainment
Coffee at coffee shop,4,Food
Movie tickets (matinee),8,Entertainment
Clothing purchase (department store),60,Shopping
Dinner at seafood restaurant,55,Food
Taxi to train station,12,Travel
Hotel stay (vacation),400,Travel
Concert tickets (local band),30,Entertainment
New phone purchase,900,Shopping
Gas for car (top-up),15,Travel
Uber Eats order,20,Food
Groceries at discount store,50,Food
Lunch at cafe,12,Food
Netflix subscription,15,Entertainment
Flight to Barcelona,500,Travel
